"country","subregion","region","smartphone_adoption","happiness","literacy","discrimination_index","homicide_rate","education","income","gini","suicide_rate","gun_deaths","internet_speed","population","gender_equality","social_progress","human_needs","well_being","opportunity","life_expectancy","terrorism_score","peace_index","satisfaction","web_index"
"31","Mexico","Central America","Americas",36.8,7.144,94.3,NA,21.5,0.638,NA,"48.1",4.2,15.37,4.1,121005000,0.69,67.5,72.81,68.82,60.88,76,3.99,2.53,230,55.34
"32","Russia","Eastern Europe","Europe",36.2,5.464,99.7,8.2,9,NA,NA,"39.7",19.5,NA,9.1,146466130,NA,63.64,74.1,67.63,49.19,NA,6.21,2.954,143.33,58.17
"33","Poland","Eastern Europe","Europe",35,5.822,99.7,3.8,0.8,0.825,15768,"34.1",16.6,0.26,8.6,38484000,0.7051,77.98,86.67,77.19,70.07,77,0,1.43,196.67,58.81
"34","Malaysia","South-Eastern Asia","Asia",34.5,5.76,94.6,NA,2.3,0.671,NA,"46.2",3,NA,4.1,30795400,0.652,69.55,86.13,74.87,47.66,74,3.58,1.561,246.67,48.34
"35","Hungary","Eastern Europe","Europe",34.4,NA,99,4.1,2.7,0.805,13419,"31.2",19.1,0.95,8.8,9849000,0.6759,74.8,88.8,70.4,65.21,75,1.19,1.463,190,66.12
"36","Belgium","Western Europe","Europe",33.5,7.054,NA,4.1,1.6,0.812,28015,"33.0",14.2,1.89,11.4,11280134,0.7809,82.83,93.73,76.57,78.19,80,1.98,1.365,243.33,89.61
"37","Greece","Southern Europe","Europe",32.5,5.435,97.6,4.8,1.7,0.797,15061,"34.3",3.8,1.52,NA,10846979,0.6784,74.03,87.64,74.53,59.91,81,4.98,1.878,210,60.91
"38","Portugal","Southern Europe","Europe",32.1,5.101,95.6,2.3,1.2,0.728,16664,"38.5",8.2,1.58,8,10374822,0.7243,81.91,92.81,76.17,76.76,81,0.27,1.344,203.33,73.33
"39","Thailand","South-Eastern Asia","Asia",31,6.371,96.6,NA,5,0.608,NA,"40.0",11.4,NA,6.6,65104000,0.7027,66.34,75.77,72.35,50.9,75,7.28,2.303,216.67,39.2
"40","Argentina","South America","Americas",30.7,6.546,98,5,5.5,0.783,NA,"42.3",10.3,9.63,4.2,43131966,0.7317,73.08,80.51,73.57,65.17,76,1.67,1.865,226.67,60.74
"41","Turkey","Western Asia","Asia",29.6,5.344,95,NA,2.6,0.652,NA,"39.0",7.9,NA,5.5,77695904,0.6183,66.24,81.5,66.61,50.61,75,5.74,2.363,176.67,53.3
"42","Romania","Eastern Europe","Europe",27.9,NA,98.7,NA,1.5,0.748,NA,"30.0",10.5,0.14,11.3,19942642,0.6936,68.37,77.35,71.53,56.24,74,0,1.542,173.33,NA
"43","Brazil","South America","Americas",26.3,7.427,92.5,5.9,25.2,0.661,NA,"52.7",5.8,19.72,2.9,205329000,0.6941,70.89,71.14,76.21,65.33,74,2.21,2.122,210,60.19
"44","Japan","Eastern Asia","Asia",24.7,6.064,NA,3.8,0.3,0.808,26122,"38.1",18.5,0.06,15,126890000,0.6584,83.15,95.01,78.78,75.66,84,0,1.323,206.67,79
"45","Vietnam","South-Eastern Asia","Asia",19.7,5.533,94.5,5.7,3.3,0.513,NA,"35.6",NA,NA,2.5,90730000,0.6915,NA,74.19,NA,36.28,76,0,1.848,203.33,24.89
"46","India","Southern Asia","Asia",19.2,NA,72.1,NA,3.5,0.473,NA,"33.6",21.1,0.28,2,1281440000,0.6455,53.06,58.87,57.38,42.93,66,7.75,2.504,180,44.6
"47","India","Southern Asia","Asia",19.2,NA,72.1,NA,3.5,0.473,NA,"33.6",21.1,0.28,2,1281440000,0.6455,53.06,58.87,57.38,42.93,66,0,2.504,180,44.6
"48","Ukraine","Eastern Europe","Europe",14.4,NA,99.7,5.9,4.3,0.796,NA,"26.4",16.8,0.2,NA,42800501,0.7056,65.69,78.28,61.74,57.05,71,7.2,2.845,120,45.2
"49","Indonesia","South-Eastern Asia","Asia",14,5.348,93.8,NA,0.6,0.603,NA,"34.0",4.3,NA,3.7,255461700,0.6725,60.47,66.52,69.54,45.35,71,4.76,1.768,220,39.37
