"country","subregion","region","smartphone_adoption","happiness","literacy","discrimination_index","homicide_rate","education","income","gini","suicide_rate","gun_deaths","internet_speed","population","gender_equality","social_progress","human_needs","well_being","opportunity","life_expectancy","terrorism_score","peace_index","satisfaction","web_index"
"136","Guyana","South America","Americas",NA,NA,88.4,5.9,17,0.582,NA,"44.5",44.2,NA,NA,746900,0.701,60.42,68.8,60.57,51.89,63,0,2.029,240,NA
"137","Haiti","Caribbean","Americas",NA,NA,60.7,NA,10.2,0.374,NA,"59.2",2.8,NA,NA,10911819,NA,NA,36.02,NA,36.89,62,0,2.074,183.33,12.52
"138","Iran","Southern Asia","Asia",NA,NA,86.8,NA,3.9,0.683,NA,"38.3",5.2,NA,NA,78857100,NA,56.82,78.42,61.14,30.9,74,4.22,2.409,200,NA
"139","Iraq","Western Asia","Asia",NA,NA,79.6,NA,8,0.467,NA,"29.5",1.7,NA,NA,36004552,NA,48.35,63.11,55.29,26.67,70,10,3.444,NA,NA
"140","Kenya","Eastern Africa","Africa",NA,NA,77.9,NA,6.4,0.515,NA,"47.7",16.2,NA,NA,46050000,0.7258,51.67,46.48,68.17,40.36,61,6.66,2.342,186.67,37.48
"141","Kiribati","Micronesia","Oceania",NA,NA,NA,NA,8.2,0.602,NA,NA,NA,NA,NA,113400,NA,NA,NA,NA,NA,66,NA,NA,NA,NA
"142","Korea, Democratic People's Republic of",NA,NA,NA,NA,99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Korea, Republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Kyrgyzstan","Central Asia","Asia",NA,NA,99.5,NA,9.1,0.656,NA,"36.2",9.2,1.01,NA,5975000,NA,58.58,67.87,61.16,46.7,69,1.72,2.249,220,NA
"145","Laos","South-Eastern Asia","Asia",NA,NA,79.8,NA,5.9,NA,NA,"36.7",8.8,NA,NA,6802000,0.7044,52.41,60.43,61.7,35.09,NA,0.04,1.7,180,NA
"146","Latvia","Northern Europe","Europe",NA,NA,99.8,5.4,4.7,0.813,NA,"36.6",16.2,1.43,13,1973700,0.7691,74.12,83.84,77.76,60.75,74,0,1.695,156.67,NA
"147","Lebanon","Western Asia","Asia",NA,NA,93.9,NA,2.2,0.631,NA,"",0.9,NA,NA,4168000,0.5923,61.85,75.69,65.89,43.97,80,6.38,2.623,186.67,NA
"148","Lesotho","Southern Africa","Africa",NA,NA,79.3,4.7,38,0.504,NA,"52.5",6.1,NA,NA,1894194,0.7255,52.27,48.62,55.82,52.35,50,0,1.891,143.33,NA
"149","Liberia","Western Africa","Africa",NA,NA,47.6,NA,3.2,0.367,NA,"38.2",4.3,NA,NA,4503000,NA,44.89,41.15,53.23,40.3,62,1.22,1.963,NA,NA
"150","Liechtenstein","Western Europe","Europe",NA,NA,NA,NA,0,0.762,NA,NA,NA,NA,NA,37370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Macedonia","Southern Europe","Europe",NA,NA,97.8,NA,1.4,NA,NA,"43.2",NA,1.69,NA,2069172,0.6943,67.79,83.53,67.04,52.8,76,2.25,1.944,NA,NA
"152","Madagascar","Eastern Africa","Africa",NA,NA,64.6,4.9,11.1,0.458,NA,"44.1",11,NA,NA,22434363,0.7214,44.5,41.93,53.53,38.04,64,2.44,1.911,193.33,NA
"153","Malawi","Eastern Africa","Africa",NA,NA,65.7,5.7,1.8,0.44,NA,"39.0",16,NA,NA,16310431,0.7281,48.95,46.42,57.31,43.12,59,0,1.814,153.33,18.87
"154","Maldives","Southern Asia","Asia",NA,NA,99.3,4.9,3.9,0.548,NA,"37.4",6.4,NA,NA,341256,0.6557,NA,NA,NA,NA,77,NA,NA,220,NA
"155","Mali","Western Africa","Africa",NA,NA,38.7,NA,7.5,0.305,NA,"33.0",4.8,NA,NA,17600000,0.5779,46.51,48.48,52.45,38.6,57,5.87,2.31,176.67,11.14
"156","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54880,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
"157","Mauritania","Western Africa","Africa",NA,NA,52.1,NA,5,0.352,NA,"40.5",2.9,NA,NA,3631775,0.6029,45.85,47.73,59.08,30.73,63,0.31,2.262,176.67,NA
"158","Micronesia","Micronesia","Oceania",NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA
"159","Monaco","Western Europe","Europe",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,37800,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
"160","Mongolia","Eastern Asia","Asia",NA,NA,98.3,3.7,9.7,0.694,NA,"36.5",9.8,NA,NA,3055556,0.7212,61.52,58.36,64.49,61.71,67,0,1.706,223.33,NA
"161","Morocco","Northern Africa","Africa",NA,NA,72.3,NA,2.2,0.468,NA,"40.9",5.3,NA,NA,33337529,0.5988,59.56,76.64,64.14,37.89,71,1.45,2.002,186.67,40.28
"162","Mozambique","Eastern Africa","Africa",NA,NA,58.7,4.9,12.4,0.372,NA,"45.7",27.4,NA,NA,25727911,0.737,46.02,43.13,53.49,41.43,53,4.39,1.976,180,15.46
"163","Myanmar","South-Eastern Asia","Asia",NA,NA,93,NA,15.2,0.371,NA,"",13.1,NA,NA,53897000,NA,46.12,58.87,49.19,30.28,66,4.08,2.323,176.67,3.03
"164","Namibia","Southern Africa","Africa",NA,NA,81.9,5.3,17.2,0.52,NA,"61.3",2.7,NA,NA,2113077,0.7219,62.71,59.73,71.93,56.47,67,0,1.784,216.67,25.97
"165","Nauru","Micronesia","Oceania",NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,10084,NA,NA,NA,NA,NA,79,NA,NA,NA,NA
"166","Nepal","Southern Asia","Asia",NA,NA,64.6,NA,2.9,0.452,NA,"32.8",24.9,NA,NA,28037904,0.6458,55.33,62.54,62.71,40.74,68,4.79,1.878,183.33,23.95
"167","Niger","Western Africa","Africa",NA,NA,19.1,NA,4.7,0.198,NA,"34.6",3.5,NA,NA,19899000,NA,40.56,40.55,48.99,32.15,59,3.49,2.32,150,NA
"168","Palau","Micronesia","Oceania",NA,NA,99.5,NA,3.1,0.787,NA,NA,NA,NA,NA,17950,NA,NA,NA,NA,NA,73,NA,NA,NA,NA
"169","Papua New Guinea","Melanesia","Oceania",NA,NA,64.2,NA,10.4,0.376,NA,"50.9",12.4,NA,NA,8083700,NA,NA,NA,55.39,NA,62,0,2.064,210,NA
"170","Rwanda","Eastern Africa","Africa",NA,NA,70.5,NA,23.1,0.478,NA,"50.8",11.9,NA,NA,11262564,NA,51.6,52.52,60.63,41.67,65,3.33,2.42,146.67,23.34
"171","Saint Kitts and Nevis","Caribbean","Americas",NA,NA,NA,NA,33.6,0.638,NA,NA,NA,NA,NA,56000,NA,NA,NA,NA,NA,74,NA,NA,246.67,NA
"172","Saint Lucia","Caribbean","Americas",NA,NA,NA,NA,21.6,0.631,NA,NA,NA,NA,NA,185000,NA,NA,NA,NA,NA,75,NA,NA,233.33,NA
"173","Saint Vincent and the Grenadines","Caribbean","Americas",NA,NA,NA,NA,25.6,0.657,NA,NA,NA,NA,NA,109991,NA,NA,NA,NA,NA,74,NA,NA,240,NA
"174","Samoa","Polynesia","Oceania",NA,NA,99,4.8,3.6,0.702,NA,NA,NA,NA,NA,187820,NA,NA,NA,NA,NA,73,NA,NA,230,NA
"175","San Marino","Southern Europe","Europe",NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,32831,NA,NA,NA,NA,NA,83,NA,NA,NA,NA
"176","Sao Tome and Principe","Middle Africa","Africa",NA,NA,74.9,NA,3.3,0.469,NA,"50.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA
"177","Senegal","Western Africa","Africa",NA,NA,55.6,NA,2.8,0.368,NA,"39.2",5.4,NA,NA,13508715,0.6912,56.46,60.35,65.97,43.07,64,3.47,1.805,186.67,21.67
"178","Serbia","Southern Europe","Europe",NA,NA,98.1,NA,1.2,0.695,NA,"27.8",12.4,3.9,NA,7114393,0.7086,69.79,83.38,74.74,51.25,75,0.41,1.768,NA,NA
"179","Seychelles","Eastern Africa","Africa",NA,NA,95.2,4.8,9.5,0.636,NA,"65.8",NA,NA,NA,91400,NA,NA,NA,NA,NA,74,NA,NA,246.67,NA
"180","Sierra Leone","Western Africa","Africa",NA,NA,48,5.9,1.9,0.305,NA,"42.5",7.7,NA,NA,6453000,NA,NA,34.43,NA,36.16,46,0,1.864,166.67,13.44
"181","Solomon Islands","Melanesia","Oceania",NA,NA,NA,NA,4.3,0.405,NA,NA,10.6,NA,NA,642000,NA,NA,NA,NA,NA,69,NA,NA,230,NA
"182","Somalia","Eastern Africa","Africa",NA,NA,NA,NA,8,NA,NA,"",12.4,NA,NA,10787000,NA,NA,NA,NA,NA,53,7.6,3.307,NA,NA
"183","South Sudan","Eastern Africa","Africa",NA,NA,31.9,NA,13.9,NA,NA,"45.5",19.8,NA,NA,11892934,NA,NA,NA,NA,NA,55,6.71,3.383,NA,NA
"184","Sri Lanka","Southern Asia","Asia",NA,NA,92.6,NA,3.4,0.738,NA,"36.4",28.8,NA,NA,20675000,0.6903,60.1,71.12,67.03,42.14,75,4.08,2.188,203.33,NA
"185","Sudan","Northern Africa","Africa",NA,NA,75.8,NA,11.2,0.306,NA,"35.3",17.2,NA,NA,38435252,NA,NA,NA,NA,25.14,63,6.69,3.295,120,NA
"186","Swaziland","Southern Africa","Africa",NA,NA,87.4,3.6,33.8,0.551,NA,"51.5",6.2,37.16,NA,1119375,NA,50.94,53.34,57.02,42.45,54,0,2.102,140,NA
"187","Syria","Western Asia","Asia",NA,NA,86.4,NA,2.2,NA,NA,"35.8",0.4,NA,NA,23522089,0.5775,NA,NA,56.14,24.25,NA,8.11,3.645,170,NA
"188","Tajikistan","Central Asia","Asia",NA,NA,99.7,NA,1.6,0.639,NA,"30.8",4.2,NA,NA,8354000,0.6654,56.49,62.58,63.09,43.79,68,1.87,2.152,203.33,NA
"189","Tanzania, United Republic of",NA,NA,NA,NA,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Timor-Leste","South-Eastern Asia","Asia",NA,NA,67.5,NA,3.6,0.472,NA,"31.9",8,NA,NA,NA,NA,NA,50.55,59.34,NA,66,0,1.86,NA,NA
"191","Togo","Western Africa","Africa",NA,NA,66.5,4.8,10.3,0.514,NA,"34.4",5.5,NA,NA,6974000,NA,46.66,45.11,59.4,35.46,58,0,1.944,163.33,NA
"192","Tonga","Polynesia","Oceania",NA,NA,99.3,NA,1,0.72,NA,NA,NA,NA,NA,103252,NA,NA,NA,NA,NA,71,NA,NA,220,NA
"193","Trinidad and Tobago","Caribbean","Americas",NA,NA,98.9,4.4,28.3,0.7,NA,"40.3",13,NA,NA,1340557,0.7154,NA,75.18,NA,63.83,70,1.58,2.07,230,NA
"194","Tunisia","Northern Africa","Africa",NA,NA,81.7,NA,2.2,0.621,NA,"41.4",2.4,NA,NA,10982754,0.6272,64.92,81.13,68.43,45.2,76,3.7,1.952,213.33,51.93
"195","Tuvalu","Polynesia","Oceania",NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,10640,NA,NA,NA,NA,NA,68,NA,NA,NA,NA
"196","Uganda","Eastern Africa","Africa",NA,NA,73.8,NA,10.7,0.479,NA,"44.3",19.5,NA,NA,34856813,0.6821,49.49,47.91,61.54,39.02,57,4.89,2.179,156.67,24.62
"197","United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.038,NA,NA
"198","Vanuatu","Melanesia","Oceania",NA,NA,85.2,NA,2.9,0.596,NA,NA,NA,NA,NA,277500,NA,NA,NA,NA,NA,72,NA,NA,246.67,NA
"199","Yemen","Western Asia","Asia",NA,NA,70,NA,4.8,0.339,NA,"37.7",3.7,NA,NA,25956000,0.5145,40.3,49.72,50.07,21.12,64,7.64,2.751,206.67,5.17
"200","Zambia","Eastern Africa","Africa",NA,NA,63.3,NA,10.7,0.591,NA,"54.6",15.7,NA,NA,15473905,0.6364,51.62,43.87,64.82,46.19,57,0,1.846,163.33,22.75
"201","Zimbabwe","Eastern Africa","Africa",NA,NA,86.5,NA,10.6,0.5,NA,"50.1",18.1,0.39,NA,13061239,0.7013,NA,45.16,NA,33.4,58,1.71,2.294,110,18.43
"202","Cape Verde","Western Africa","Africa",NA,NA,NA,4.2,10.3,0.483,NA,"50.5",NA,NA,NA,524833,0.7133,NA,NA,70.5,NA,NA,NA,NA,193.33,NA
"203","F.S. Micronesia",NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","São Tomé and Príncipe",NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,187356,NA,NA,NA,NA,NA,NA,NA,NA,223.33,NA
"205","Mayotte (France)","Eastern Africa","Africa",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,212645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Réunion (France)","Eastern Africa","Africa",NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,844994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Tanzania","Eastern Africa","Africa",NA,NA,NA,NA,12.7,0.426,NA,"37.6",24.9,NA,NA,53470000,0.7182,47.14,41.39,58.23,41.79,NA,3.98,1.903,183.33,21.33
"208","Democratic Republic of the Congo","Middle Africa","Africa",NA,NA,NA,NA,28.3,0.372,NA,NA,10.1,NA,NA,85026000,NA,NA,NA,NA,NA,52,6.49,3.085,110,NA
"209","Ivory Coast","Western Africa","Africa",NA,NA,NA,NA,13.6,NA,NA,NA,NA,NA,NA,22671331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Anguilla (UK)","Caribbean","Americas",NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,13452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Aruba (Netherlands)","Caribbean","Americas",NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,107394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","British Virgin Islands (UK)","Caribbean","Americas",NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,28054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Cayman Islands (UK)","Caribbean","Americas",NA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,58238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Guadeloupe (France)","Caribbean","Americas",NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,403750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Martinique (France)","Caribbean","Americas",NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,381326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Montserrat (UK)","Caribbean","Americas",NA,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,4922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Puerto Rico (US)","Caribbean","Americas",NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Turks and Caicos Islands (UK)","Caribbean","Americas",NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,31458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","United States Virgin Islands (US)","Caribbean","Americas",NA,NA,NA,NA,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Bermuda (UK)","Northern America","Americas",NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,64237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Saint Pierre and Miquelon (France)","Northern America","Americas",NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,6069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","French Guiana (France)","South America","Americas",NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,239648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Macao","Eastern Asia","Asia",NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","North Korea","Eastern Asia","Asia",NA,NA,NA,NA,5.2,NA,NA,"",NA,NA,NA,25155000,NA,NA,NA,NA,NA,NA,0,2.977,NA,NA
"225","Brunei","South-Eastern Asia","Asia",NA,NA,NA,NA,2,NA,NA,NA,6.4,NA,NA,393372,NA,NA,NA,NA,NA,NA,NA,NA,253.33,NA
"226","Palestine","Western Asia","Asia",NA,NA,NA,NA,7.4,NA,NA,"35.5",NA,NA,NA,4682467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Greenland (Denmark)","Northern Europe","Europe",NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,56114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","New Caledonia (France)","Melanesia","Oceania",NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,268767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Guam (US)","Micronesia","Oceania",NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Cook Islands","Polynesia","Oceania",NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,19100,NA,NA,NA,NA,NA,76,NA,NA,NA,NA
"231","French Polynesia (France)","Polynesia","Oceania",NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,268270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Niue","Polynesia","Oceania",NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,1470,NA,NA,NA,NA,NA,74,NA,NA,NA,NA
"233","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,0.389,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,53,3.14,2.133,NA,NA
"234","Democratic People's Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
"235","Republic of Korea",NA,NA,NA,NA,NA,NA,NA,0.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA
"236","Lao People's Democratic Republic",NA,NA,NA,NA,NA,NA,NA,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA
"237","Federated States of Micronesia",NA,NA,NA,NA,NA,NA,NA,0.611,NA,NA,NA,NA,NA,102800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Moldova (Republic of)",NA,NA,NA,NA,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","State of Palestine",NA,NA,NA,NA,NA,NA,NA,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Russian Federation",NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,0.6927,NA,NA,NA,NA,69,NA,NA,NA,NA
"241","Syrian Arab Republic",NA,NA,NA,NA,NA,NA,NA,0.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA
"242","Republic of Macedonia",NA,NA,NA,NA,NA,NA,NA,0.642,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.33,NA
"243","Slovak Republic",NA,NA,NA,NA,NA,NA,NA,NA,15076,NA,NA,NA,NA,NA,0.6806,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","DR Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"44.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","The Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.3",NA,NA,NA,1882450,NA,NA,57.9,55.36,NA,NA,NA,NA,190,NA
"247","Macau",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","St. Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Hong Kong (China)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7298600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Republic of the Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4620000,NA,NA,NA,NA,NA,NA,NA,2.196,190,NA
"252","Puntland (Somalia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Puerto Rico (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3548397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Somaliland (Somalia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","East Timor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167242,NA,NA,NA,NA,NA,NA,NA,NA,220,NA
"256","Macau (China)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Transnistria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","The Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368390,NA,NA,NA,NA,NA,NA,NA,NA,256.67,NA
"260","Northern Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Abkhazia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Guam (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Curaçao (Netherlands)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Nagorno-Karabakh Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","United States Virgin Islands (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Jersey (UK)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Isle of Man (UK)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Ceuta (Spain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Melilla (Spain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Guernsey (UK)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","American Samoa (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Northern Mariana Islands (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","South Ossetia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Faroe Islands (Denmark)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Sint Maarten (Netherlands)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Saint-Martin (France)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Gibraltar (UK)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Åland Islands (Finland)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Bonaire (Netherlands)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Wallis and Futuna (France)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Saint Barthélemy (France)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Sint Eustatius (Netherlands)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Saint Helena, Ascension and Tristan da Cunha (UK)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Falkland Islands (UK)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Svalbard and Jan Mayen (Norway)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Norfolk Island (Australia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Christmas Island (Australia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Saba (Netherlands)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
